posicion;cliente_id;cliente;empresa;ventas;frecuencia_egresos;ticket_promedio
292;1826;GYE EXPOTUNA SUMINISTROS;COALSE;3936.2405673358;70;56.2320081047972
293;1419;PLUSPETROL VILLANO A HOTELERÍA;TECFOOD;3924.0351705;31;126.581779693548
294;534;OCP CHIQUILPE RETAIL;TECFOOD;3799.5337857201;67;56.7094594883597
295;1709;DANEC RETAIL MENÚ;TECFOOD;3773.5920087453;324;11.6468889158806
296;1042;FERRERO EVENTOS;TECFOOD;3648.6696729525;28;130.309631176875
297;1611;GYE HORMIPISOS CUENCA;COALSE;3525.4178450036;114;30.9247179386281
298;1864;GYE LA FABRIL MANTA MULTIUSOS EVENTOS;COALSE;3447.1375945295;65;53.0328860696846
299;2137;GYE CONTECON S.A. EVENTOS;COALSE;3316.5241184133;5;663.30482368266
300;702;COL. EINSTEIN EVENTOS;TECFOOD;3299.5424509583;38;86.8300644989026
301;1276;PLUSPETROL ARCHIDONA RETAIL;TECFOOD;3265.87830077;10;326.587830077
302;1064;GYE OMARSA BRISAS EVENTOS;COALSE;3248.01582326;18;180.445323514444
303;242;OCP CHIQUILPE;TECFOOD;3243.566277355;65;49.9010196516154
304;1783;FLOREQUISA EVENTOS;TECFOOD;3172.0902233696;82;38.6840271142634
305;2119;GYE PICA PCP GYE;COALSE;3126.9578883901;5;625.39157767802
306;1321;GYE IPAC S.A. SUMINISTROS;COALSE;3038.07036812;63;48.2233391765079
