cliente_id;cliente;empresa;segmento;recencia_dias;frecuencia_egresos;ventas;ticket_promedio;productos_diferentes;dias_activos;cluster;componente_1;componente_2
1880;GYE SANTA PRISCILA TEXTILES;COALSE;Clientes estrategicos;4;294;244463.665564905;831.509066547297;327;65;1;-2.80437038090741;0.770713810500822
1736;HORMIPISOS QUITO SUR;TECFOOD;Clientes estrategicos;6;122;10548.9080353197;86.4664593058992;240;32;1;-0.907232521945255;-0.170171538875977
1058;HOSP. METROPOLITANO BAKERY RETAIL;TECFOOD;Clientes estrategicos;2;277;62952.3801649491;227.264910342777;176;69;1;-2.19082257997906;-0.307965015946982
1118;HOSP. METROPOLITANO PEDIDOS ESPECIALES RETAIL;TECFOOD;Clientes estrategicos;9;178;10324.4284961352;58.0024072816584;186;64;1;-1.03111062275972;-0.558145625731522
70;INAEXPO PL STO. DGO.;TECFOOD;Clientes estrategicos;6;133;82284.4104051319;618.679777482195;382;32;1;-1.94314498557745;1.0432966755651
1614;INDUCALSA-BUNKY;TECFOOD;Clientes estrategicos;6;143;34328.6091893742;240.060204121498;362;33;1;-1.56340211398222;0.467590764859903
244;OCP PEDRO VICENTE M.;TECFOOD;Clientes estrategicos;6;129;8216.1395353576;63.6910041500589;194;33;1;-0.754187326059329;-0.389979510590553
272;OCP PEDRO VICENTE M. RETAIL;TECFOOD;Clientes estrategicos;6;120;6916.2157073;57.6351308941667;100;32;1;-0.472498114520571;-0.525796933047707
267;OCP BALAO MARINA RETAIL;TECFOOD;Clientes estrategicos;6;132;19570.892175359;148.264334661811;118;33;1;-0.991237097126131;0.0332110029538829
240;OCP BALAO;TECFOOD;Clientes estrategicos;6;139;32724.9201908913;235.431080510009;361;34;1;-1.55119978120309;0.445442207249058
268;OCP BALAO RETAIL;TECFOOD;Clientes estrategicos;6;131;18508.5932650145;141.28697148866;138;33;1;-1.01103857558526;0.0267591789400176
1655;TELEVICENTRO;TECFOOD;Clientes estrategicos;6;127;8182.2831893796;64.4274266880284;284;32;1;-0.848370194622445;-0.318935810505345
508;PANAVIAL MINA COLIBRÍ;TECFOOD;Clientes estrategicos;5;150;14256.1831941057;95.041221294038;341;41;1;-1.29345518122413;-0.227905271726486
927;PANIFICADORA MODERNA;TECFOOD;Clientes estrategicos;4;159;40813.097545804;256.686148086818;359;36;1;-1.76927497802244;0.331241885268466
237;PLUSPETROL VILLANO A;TECFOOD;Clientes estrategicos;6;203;82115.2423674418;404.508583090846;494;33;1;-2.0603930615064;0.807420089055348
1286;PLUSPETROL VILLANO A COFFEE POINTS;TECFOOD;Clientes estrategicos;6;92;5909.70861451;64.2359632011957;27;30;1;0.0109299102895389;-0.610112593172814
232;PLUSPETROL CPF;TECFOOD;Clientes estrategicos;6;196;113358.945078651;578.361964686995;522;34;1;-2.22605920137482;1.01457468667239
3;AGLOMERADOS COTOPAXI;TECFOOD;Clientes estrategicos;3;332;118316.580723162;356.375243142055;470;64;1;-2.65475779570777;0.234030444237246
82;AGLOMERADOS COTOPAXI 2;TECFOOD;Clientes estrategicos;3;242;8847.8034353497;36.5611712204533;172;64;1;-1.21396702412414;-1.2227774777184
542;ALPINA SAN GABRIEL;TECFOOD;Clientes estrategicos;5;128;27779.2255332176;217.025199478263;348;32;1;-1.48074594286444;0.353425914384258
4;AVON;TECFOOD;Clientes estrategicos;5;128;20285.3317478597;158.479154280154;300;33;1;-1.31305787833026;0.137607401146501
809;BIMBO;TECFOOD;Clientes estrategicos;3;266;35690.691428111;134.175531684628;360;64;1;-2.03806941329816;-0.368840126328371
1896;CLUB DEPORTIVO IDV PROFESIONAL;TECFOOD;Clientes estrategicos;0;428;59860.3367415743;139.860599863491;313;91;1;-2.7736587184932;-1.08335934995059
1520;CLUB DEPORTIVO U. CATÓLICA PROFESIONAL;TECFOOD;Clientes estrategicos;4;145;9431.507360315;65.044878347;177;36;1;-0.921639896345005;-0.565094212877083
2007;CCDC JACKUP RIG;TECFOOD;Clientes estrategicos;4;278;148755.464746795;535.091599808616;610;43;1;-2.59904724063403;0.754647007035922
1380;COL. LICEO INTERNACIONAL COMEDOR;TECFOOD;Clientes estrategicos;59;183;5712.8967269766;31.2180149015115;203;47;1;-0.198624202052135;-0.0455470139106358
1382;COL. LICEO INTERNACIONAL RETAIL;TECFOOD;Clientes estrategicos;54;125;17059.405151632;136.475241213056;140;33;1;-0.42076365934574;0.863745240300218
1474;COL. MENOR COMEDOR;TECFOOD;Clientes estrategicos;3;212;48391.8975749799;228.263667806509;306;52;1;-2.02447669715885;0.0032921545164491
22;COL. MENOR RETAIL;TECFOOD;Clientes estrategicos;3;238;91030.440150481;382.480840968408;307;55;1;-2.33235074262858;0.282175612013387
1331;ECOFROZ AGUA CLARA;TECFOOD;Clientes estrategicos;5;127;39462.23036348;310.726223334488;294;32;1;-1.58500227367061;0.540550209022932
128;ECUAJUGOS FABRICA;TECFOOD;Clientes estrategicos;5;149;49415.9804209567;331.650875308434;355;32;1;-1.74951104411801;0.600747603525467
127;ECUAJUGOS CD;TECFOOD;Clientes estrategicos;5;131;16209.0502424999;123.733207958015;269;32;1;-1.17384746088859;-0.0111903503100904
1777;TESSA DALI;TECFOOD;Clientes estrategicos;3;250;18023.3881652973;72.0935526611892;315;64;1;-1.6977288022847;-0.747608166110478
1934;GYE COL. MENOR SAM COMEDOR;COALSE;Clientes estrategicos;3;163;11763.8204747929;72.1706777594657;239;43;1;-1.2425158338886;-0.624997234611357
1961;GYE EXPOCULTIVOS GRANCOMAR;COALSE;Clientes estrategicos;5;139;109999.766527307;791.365226815161;312;32;1;-2.05682208954667;1.09483485088678
1962;GYE EXPOCULTIVOS CAMARONMAR;COALSE;Clientes estrategicos;5;138;26569.800972122;192.534789653058;247;33;1;-1.38077952011944;0.222718014989242
1201;GYE GRAIMAN;COALSE;Clientes estrategicos;5;144;53862.9010976022;374.047924288904;331;33;1;-1.77644306829864;0.651052244478396
1989;GYE GRUPO DIFARE SUMINISTROS;COALSE;Clientes estrategicos;5;68;4471.88440741;65.7630059913235;40;32;1;-0.0210994042560087;-0.623988785030365
